Coaching,Flag,Event ID,Recorded Date,Severity,Score,Observations,Vehicle,Driver ID
Not In Queue,Not Flagged,9096-REV9,25-Mar-17,Category 0,0,Failure to Attempt to Stop at Light,9041,564
Not In Queue,Not Flagged,9096-REV2,25-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,11211,303
Not In Queue,Not Flagged,9096-RET9,25-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6004,274
Not In Queue,Not Flagged,9096-RESW,25-Mar-17,Category 1,49,Unsafe Following (3.25 - 4 seconds),9025,904
Not In Queue,Not Flagged,9096-RESD,25-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,12013,1705
Not In Queue,Not Flagged,9096-REKQ,16-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,12046,684
Not In Queue,Not Flagged,9096-REJX,22-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,9942,1048
Not In Queue,Not Flagged,9096-REJM,22-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,9942,1048
Not In Queue,Not Flagged,9096-REHC,21-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,13009,2300
Coached,Not Flagged,9096-REFT,24-Mar-17,Category 3,226,Unsafe Braking,14018,1657
Not In Queue,Not Flagged,9096-REBC,24-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6104,2009
Not In Queue,Not Flagged,9096-REA3,24-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6104,2009
Not In Queue,Not Flagged,9096-RE9Z,24-Mar-17,Category 2,195,Incomplete Stop at Light,6104,2009
Not In Queue,Not Flagged,9096-RE68,24-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6104,2009
Coached,Not Flagged,9096-RE5E,24-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15019,1410
Not In Queue,Not Flagged,9096-RE4K,24-Mar-17,Category 2,195,Incomplete Stop at Light,9988,1231
Not In Queue,Not Flagged,9096-RE42,24-Mar-17,Category 2,195,Incomplete Stop at Light,6104,2009
Aged out,Not Flagged,9096-RE3Q,24-Mar-17,Category 4,275,Failure to Attempt to Stop at Light,7033,1335
Not In Queue,Not Flagged,9096-RE3J,24-Mar-17,Category 2,195,Incomplete Stop at Light,6104,2009
Not In Queue,Not Flagged,9096-RE1Y,24-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6104,2009
Not In Queue,Not Flagged,9096-RE1X,24-Mar-17,Category 2,195,"Incomplete Stop at Stop Sign, Yawning",6104,2009
Not In Queue,Not Flagged,9096-RE1H,24-Mar-17,Category 2,175,Unsafe Following (2.25 - 3 seconds),9009,1860
Not In Queue,Not Flagged,9096-RE0T,24-Mar-17,Category 2,175,Unsafe Following (2.25 - 3 seconds),11012,2123
Not In Queue,Not Flagged,9096-RE0C,24-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11011,1047
Not In Queue,Not Flagged,9096-RDZW,24-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6104,2009
Not In Queue,Not Flagged,9096-RDY2,24-Mar-17,Category 2,195,Incomplete Stop at Light,6104,2009
Not In Queue,Not Flagged,9096-RDY0,24-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6104,2009
Coached,Not Flagged,9096-RDTE,24-Mar-17,Category 4,416,"Food, Unsafe Following (1.25 - 2 seconds)",9010,1385
Aged out,Not Flagged,9096-RDSY,24-Mar-17,Category 3,226,Unsafe Following (1.25 - 2 seconds),11008,515
Not In Queue,Not Flagged,9096-RDR5,24-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,12220,291
Not In Queue,Not Flagged,9096-RDR3,24-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6005,1956
Aged out,Not Flagged,9096-RDPP,24-Mar-17,Category 4,275,Excessive Speeding (> 10 mph Over Limit),10015,591
